ISIN,Product,Valuta,Beurs
LU0446734872,UBS-ETF-MSCI CANADA A,EUR,XETR
IE00B3RBWM25,VANGUARD FTSE AW,EUR,XAMS
IE00BYYR0C64,VANGUARD GLBLMINVO,EUR,XAMS
IE00B3XXRP09,VANGUARD S&P500,EUR,XAMS
IE00BZ163M45,VANGUARD USDTRBOND,EUR,XAMS
DE000A2ARXG7,WISDOMTR.US EQ.INC.DLADL,,
,,,
,,,
,,,
IE00B5BMR087,,EUR,XAMS
IE00B4WXJJ64,,EUR,XAMS
,,,
,,,
IE00BKM4GZ66,,EUR,XAMS
